,air_35512c42db0868da.csv,air_67483104fa38ef6c.csv,air_6c952e3c6e590945.csv,air_79afb3f52b4d062c.csv,air_98b54e32ccddd896.csv,air_9efaa7ded03c5a71.csv,air_b1a72bf1ebf4b8ef.csv,air_b8925441167c3152.csv,air_cfdeb326418194ff.csv,air_ee3ba9af184c6c82.csv
0,-5.980233088769702e-05,-0.00022448507092132555,5.617411989725237e-05,0.0007381676443421853,0.0003662076326606283,0.014737279098436468,0.02021154601112916,0.010801429601493061,-2.04497306201801e-06,-0.0006334841077851898
1,-0.4388094670239802,-7.370996644805223,1.9151643863569017,1.2818350976261381,-4.343806023165262,7.82480813968921,-10.287480301349195,1.0807226353768178,6.37930050313894,-3.189599063954519
2,-2.1972995457528244,-5.203585345213068,-1.0063156114042455,-3.148171713304892,-4.919077787670883,-4.4052296498771435,-0.4731848111572042,2.6576200101969008,-8.815746999105688,17.848207942065834
3,0.6297948325975851,3.1191727457553697,-1.3135453534798032,2.570579808676006,2.8028353015171823,12.798665508316631,14.630761666056914,-2.0874482008782773,-5.294979717379818,-12.342329781473882
4,3.8234229146138734,12.83358475237423,-1.071607879453153,-0.5131196112104803,5.247678827946072,-12.963582696993129,15.568710103302312,0.22679243923747908,-13.147831227583131,1.1365032044770165
5,-0.20425344713824836,11.435566178641084,0.012592897826579533,0.45553574370424366,-0.046878197211698266,-3.2616118227140682,-13.91995611680831,0.07236478568951844,7.302445973720475,-2.4013203685659836
6,-0.19014732748186533,-8.922503999836342,1.0068924615481758,-0.8625593302124015,3.0681947179345417,-2.0579383334067756,-4.857614542042697,-1.2415006888077118,5.990992433463633,-3.222795381408762
7,-1.422719093030023,-5.8917368019343215,0.4568382370157996,0.19030613511714561,-1.8073817908738055,2.0687455559918226,-0.7023854693427564,-0.6127281478213006,7.585809007554497,2.163238337735594
8,6.222714310770113,13.77660797276086,-8.787379030398494,1.287339978599944,1.6117784938265265,35.06560435827742,47.64485693260239,-14.032199336140964,-15.43919769325757,-48.41409981114321
9,-3.7158625662475626,-2.2525780507141233,4.786173948415447,-1.6685820836552137,0.7021926407247893,-9.103918939395973,-19.618653886860233,10.156716955964605,7.784726721213637,25.430291278906036
10,3.8454856874565015,9.715425614407819,3.047696638274047,1.0218939097176651,7.376414733830683,-1.9779654019637989,17.853122669243632,2.0044772729729057,-7.309429673669928,-7.326730641544942
11,-0.007424172134158141,-0.8598901144756345,0.9244985334573669,0.06273933517433268,-0.2399570026616816,-0.6465431988357283,2.6958759333742335,0.03302254204270004,0.22650380537503842,0.2906733518197564
12,-0.8494300726083276,-12.857642948417292,1.2330602748366464,0.046715088026680195,-6.192509054644301,-30.18417071039636,-16.95907222566397,-0.11996131986425751,5.538621445303467,9.084070725210266
13,0.7358073563070495,-0.4537508481126678,1.4281467638095886,0.5800956341320107,2.0488080047840054,0.6631746893637768,1.7610322780864447,1.1312648618866956,-0.013999230639074935,5.198058580147059
14,0.7358073518958572,-0.45375083216549933,1.428146765407492,0.5800957089015373,2.0488084024882807,0.6631747373594429,1.7610312674674726,1.1312655414389257,-0.013999222644844473,5.1980584933520735
15,-0.1207620666056976,0.04156486425433641,0.052385171547883726,-0.5653688944794827,0.06475314481301259,-0.997807511320527,-0.8263591939444236,-0.5421205672054429,-0.07614393468148296,0.08394738564426728
16,-1.000746177316125,-0.9960958310899982,-0.9997990843238594,82.53334650273142,-1.001026388145501,0.0198433973237131,0.9971846385623353,76.53355526976412,-0.9995121653868616,-1.0030346762546831
17,-0.5219512632572736,-0.5603375183045463,-0.5454295373505418,-0.8056798764856585,-0.7422717788032153,-0.8632559418545985,-0.7378433768307824,-0.9230465411243027,-0.9588379916291053,-0.6305576050247024
18,-1.0007276463722403,-0.9997104688257803,-0.9998290619238764,-1.000053551193176,-1.000902428502365,-0.9999986037115208,-0.9979052810856449,-0.9994480174999849,-0.9997122185924113,-1.0064115273081242
19,32.47136153200424,53.112616532527944,65.12268413071105,0.003382774590766935,48.392773852313205,316.0751868022479,273.0202372636086,0.011777955978630844,69.71007056910824,83.5339541135303
