,air_1d1e8860ae04f8e9.csv,air_2b8b29ddfd35018e.csv,air_2fc478dc9f0a6b31.csv,air_5b6d18c470bbfaf9.csv,air_61668cc2b0778898.csv,air_6b9fa44a9cf504a1.csv,air_9828505fefc77d75.csv,air_9aa32b3db0fab3a5.csv,air_cf2229e64408d9fe.csv,air_ee3a01f0c71a769f.csv
0,3.7387196775430226e-05,-6.909000186431539e-06,0.00033614219700170395,0.00010246548178588146,-0.000386040116983751,9.069836725214679e-05,-0.0035744784000548155,3.409793116768273e-05,-0.002711803639082822,0.00015146736336291034
1,-2.277853446452346,0.17268920290004974,-1.0118014120108692,-5.871969824708185,0.3570465412076766,0.49157466726776666,1.9982775048988155,2.026121897544805,-0.0986338709355523,-10.411499658295188
2,-0.02762200484019873,-2.5757693465707576,3.933112180100053,-1.2384680382190878,-2.6635483676570835,-0.23911394865163355,-4.244654772781853,-0.7881740345043704,3.1228293804983553,-2.017818356206314
3,1.3379122600861293,9.08281312608481,-3.043609338347348,7.148268112320689,6.933613234113413,1.9690857449545187,13.592102299650726,-0.07373532466184986,1.6017126018117875,9.544660018553033
4,-2.600515515615757,2.419222369708897,-0.1815357433224592,12.198137725719084,0.3170490802734876,-3.0308265754792205,9.311968497254927,-8.372205442683644,3.829874817606091,26.3988599626509
5,3.026326429216057,-3.206404407836925,0.4409273993612336,-5.607094021389425,-0.2739537937967766,0.9873545697292421,-5.17152569549079,1.6478264844305346,-3.837747558670716,-6.942242759428502
6,1.3245658110289373,-3.6602845683950926,2.1652138778461385,-4.041603605331102,-5.254500893732998,-0.8786623557240492,-20.623303423823597,1.8075590009247993,-2.9640625043903595,-7.858268317986754
7,-0.7828304968983203,-2.2322799893120244,-2.302290525929865,-2.587185981131531,0.584119565659837,0.7005880998679629,5.137703484819899,3.7526162973735153,-1.6550223082513766,-8.713797516360442
8,7.874763143283613,1.975238301552544,-12.006421643350363,-1.8789251446233903,5.97680846951345,2.3533403537036675,109.11677508027884,-5.475706146711592,3.664272854544467,-6.096301201395412
9,-7.743017732320226,0.9805919279986381,8.015437329347463,-1.803626527066955,-2.755625440290941,1.4810565251481151,-76.91178037614354,2.8380645514269074,4.443835209551531,-0.6367415607040982
10,-3.812394408899735,4.005110386311965,0.08730769061327337,17.623829491554233,0.27110700704381174,-1.5537958958784073,14.465723103726294,-8.160703010990144,12.519760545633858,23.18320551247784
11,1.4963807049529028,-0.2231685909736705,-0.12125592557928784,1.6582836289718474,-0.9838109353381835,-0.499879215872264,6.655213118927083,-0.5230144994661531,0.8495570047272147,1.383386392264964
12,-0.15499661093811395,-2.28286422141886,4.3340225364129585,0.7744074818180885,-2.349683518794448,-5.53747840575858,8.728426112789116,2.132764413284557,-11.698959003307785,8.13076289147014
13,0.9611865811001423,0.24158901036758318,3.117779400552836,2.532911453773132,-0.10986857311937959,0.5037204678934943,0.5292516880979888,2.5194041685126964,4.248910362778724,1.9416276250467641
14,0.9611866156150721,0.24158901278209538,3.1177793882576994,2.5329114811923072,-0.10986856499894362,0.5037204608172986,0.5292516917185166,2.5194041263098095,4.248910365869031,1.9416276335782912
15,0.29827616808021196,0.8905186402636176,-0.8743696038485762,0.11799515235305082,-0.8821407559388298,-0.7659420738180623,0.0800703917704732,-2.6059413971314695e-05,-0.4294787004051204,0.3254664048261439
16,-1.0090696519474407,-0.9947727881975353,0.03242839144492279,-1.2827740063763013,-0.00829430999971146,-0.21823776940550058,-0.9983087284292329,-1.0011194385537874,-0.36292960769429217,-1.0016847699156581
17,-0.8704002529126547,-0.7746135262485419,-0.9173199675330784,-0.7711822140034369,-0.9686281369029718,-0.8779248245932945,-0.9490532830878335,-0.7998126440899853,-0.8555800231543749,-0.8774027118670126
18,-1.562242219016506,-1.209380457757288,-1.7847247507797621,-1.2915188141501595,-4.255223112095584,-1.6479066228087023,-0.9594425843259499,-2.087674307532472,-2.1528339761055935,-1.4868064721821581
19,0.04672095050553702,-0.9571419738964752,-0.1965210943245619,-0.6689333055101124,4.203662284405591,-0.4543635926887382,-0.9841653549549688,0.015390246924268394,-0.07231236400375156,-0.5174995131344629
20,0.560654393044199,1.2152751958938988,1.605109307768767,1.1340418323114216,2.3699892193064427,1.6133927620831874,0.9311919627672149,1.429072789964876,2.2864404799651448,1.137664427424421
21,-0.1415283725462815,0.5720690467909937,-0.4621933362491944,-0.10759802539461825,-4.807291098761947,-0.3493116710008791,0.005167991690004032,-0.2703558741367595,-0.7109603859713188,-0.30649265499223405
22,-0.17898057066817177,-0.5358108258304475,-0.02824100899464469,-0.07375505266444408,1.1973852384817603,0.08786584995318783,-0.0463591720501591,-0.1216167327685606,-0.45796722535286477,0.27239883361606715
23,0.5750008994901881,-0.43603466663598756,-0.2833442031136554,0.0317974473286114,0.024875830081313003,-0.4330984952304028,0.03006249289870611,0.2197301541000112,0.005055142023874725,0.08586470129221263
24,-0.29855931227967625,0.3522638008672959,0.15038886915846486,-0.023368581748418257,0.26719824583357604,0.18288192994383617,0.024750848281969447,-0.18409459999270672,0.10294602035231157,-0.18472224275438948
25,129.30257553062114,199.78526287034558,29.766431655244677,67.99840336603144,3.01322646424716,20.295219267914362,896.4242687421631,14.063202968082795,32.67098119724994,69.75909826116057
