Unnamed: 0,calendar_date,precipitation,hours_sunlight
186,2016-07-05,0.0,7.5
187,2016-07-06,0.0,11.2
188,2016-07-07,0.0,6.5
189,2016-07-08,0.0,0.0
190,2016-07-09,1.0,11.7
191,2016-07-10,0.0,5.9
192,2016-07-11,0.0,3.8
193,2016-07-12,9.5,0.8
194,2016-07-13,26.5,0.1
195,2016-07-14,1.0,2.0
196,2016-07-15,2.5,1.8
197,2016-07-16,4.5,5.3
198,2016-07-17,0.5,4.4
199,2016-07-18,0.0,9.9
200,2016-07-19,0.0,9.3
201,2016-07-20,0.0,12.5
202,2016-07-21,0.0,11.5
203,2016-07-22,0.0,9.7
204,2016-07-23,0.0,11.8
205,2016-07-24,0.0,0.4
206,2016-07-25,0.0,0.9
207,2016-07-26,0.0,1.1
208,2016-07-27,0.0,6.8
209,2016-07-28,0.0,8.8
210,2016-07-29,0.0,10.9
211,2016-07-30,0.0,7.1
212,2016-07-31,0.0,8.7
213,2016-08-01,0.0,8.9
214,2016-08-02,0.0,9.1
215,2016-08-03,0.0,10.9
216,2016-08-04,0.0,11.9
217,2016-08-05,0.0,10.7
218,2016-08-06,0.0,6.5
219,2016-08-07,0.0,11.9
220,2016-08-08,0.0,12.2
221,2016-08-09,0.0,10.0
222,2016-08-10,0.0,12.5
223,2016-08-11,0.0,12.7
224,2016-08-12,0.0,12.7
225,2016-08-13,0.0,12.4
226,2016-08-14,0.0,11.9
227,2016-08-15,4.0,3.2
228,2016-08-16,3.5,1.3
229,2016-08-17,1.5,9.0
230,2016-08-18,0.0,11.4
231,2016-08-19,0.0,11.7
232,2016-08-20,0.0,10.2
233,2016-08-21,0.0,9.4
234,2016-08-22,0.0,9.1
235,2016-08-23,0.0,11.6
236,2016-08-24,0.0,8.9
237,2016-08-25,0.0,9.0
238,2016-08-26,5.5,1.1
239,2016-08-27,0.5,1.1
240,2016-08-28,93.5,0.0
241,2016-08-29,64.5,0.0
242,2016-08-30,19.0,4.0
243,2016-08-31,2.5,8.8
244,2016-09-01,0.0,6.3
245,2016-09-02,0.0,4.7
246,2016-09-03,0.0,2.9
247,2016-09-04,0.0,1.0
248,2016-09-05,12.5,0.0
249,2016-09-06,0.0,7.2
250,2016-09-07,1.0,1.9
251,2016-09-08,35.5,2.0
252,2016-09-09,0.0,9.9
253,2016-09-10,0.0,6.6
254,2016-09-11,0.0,7.8
255,2016-09-12,88.5,0.0
256,2016-09-13,1.0,0.7
257,2016-09-14,0.0,5.1
258,2016-09-15,0.0,2.2
259,2016-09-16,0.0,0.7
260,2016-09-17,30.0,2.2
261,2016-09-18,36.5,0.0
262,2016-09-19,9.0,0.0
263,2016-09-20,16.5,0.0
264,2016-09-21,0.0,2.4
265,2016-09-22,3.0,0.0
266,2016-09-23,0.0,8.1
267,2016-09-24,0.0,10.0
268,2016-09-25,1.5,5.2
269,2016-09-26,0.5,0.3
270,2016-09-27,0.0,7.1
271,2016-09-28,15.0,0.0
272,2016-09-29,9.5,0.0
273,2016-09-30,17.0,0.0
274,2016-10-01,5.5,0.4
275,2016-10-02,0.0,6.4
276,2016-10-03,0.0,7.4
277,2016-10-04,0.0,0.2
278,2016-10-05,8.5,3.1
279,2016-10-06,0.0,9.5
280,2016-10-07,0.0,6.9
281,2016-10-08,52.5,1.4
282,2016-10-09,4.5,2.2
283,2016-10-10,0.0,8.3
284,2016-10-11,0.0,0.1
285,2016-10-12,0.0,5.7
286,2016-10-13,0.0,1.4
287,2016-10-14,0.0,8.9
288,2016-10-15,0.0,9.7
289,2016-10-16,22.5,0.2
290,2016-10-17,27.0,0.5
291,2016-10-18,0.0,4.0
292,2016-10-19,0.0,4.4
293,2016-10-20,0.0,6.7
294,2016-10-21,0.0,0.0
295,2016-10-22,0.0,0.4
296,2016-10-23,0.0,0.7
297,2016-10-24,0.0,9.8
298,2016-10-25,6.5,2.2
299,2016-10-26,1.0,0.3
300,2016-10-27,0.0,4.7
301,2016-10-28,20.0,0.0
302,2016-10-29,4.5,1.5
303,2016-10-30,0.0,3.2
304,2016-10-31,1.5,0.1
305,2016-11-01,0.0,1.8
306,2016-11-02,0.0,2.0
307,2016-11-03,0.0,3.9
308,2016-11-04,0.0,8.2
309,2016-11-05,0.5,9.2
310,2016-11-06,0.5,0.1
311,2016-11-07,0.0,9.3
312,2016-11-08,10.0,0.0
313,2016-11-09,8.0,0.3
314,2016-11-10,3.0,1.1
315,2016-11-11,2.0,3.9
316,2016-11-12,0.0,8.9
317,2016-11-13,0.0,6.1
318,2016-11-14,2.5,0.4
319,2016-11-15,0.0,0.0
320,2016-11-16,0.0,7.4
321,2016-11-17,0.0,5.2
322,2016-11-18,6.0,7.2
323,2016-11-19,17.0,0.0
324,2016-11-20,3.0,0.0
325,2016-11-21,0.0,3.6
326,2016-11-22,0.5,4.2
327,2016-11-23,0.0,2.7
328,2016-11-24,15.0,1.8
329,2016-11-25,1.0,2.6
330,2016-11-26,8.5,5.8
331,2016-11-27,20.0,0.0
332,2016-11-28,0.0,0.8
333,2016-11-29,0.0,1.1
334,2016-11-30,0.0,1.6
335,2016-12-01,1.5,0.6
336,2016-12-02,0.0,6.9
337,2016-12-03,0.0,7.8
338,2016-12-04,11.5,1.5
339,2016-12-05,0.0,1.7
340,2016-12-06,1.5,1.2
341,2016-12-07,3.5,0.5
342,2016-12-08,0.0,3.4
343,2016-12-09,1.0,3.4
344,2016-12-10,1.5,2.4
345,2016-12-11,2.0,1.0
346,2016-12-12,1.0,1.1
347,2016-12-13,21.5,0.0
348,2016-12-14,11.0,1.2
349,2016-12-15,6.5,4.5
350,2016-12-16,29.0,0.9
351,2016-12-17,0.0,0.9
352,2016-12-18,0.0,7.4
353,2016-12-19,0.5,2.7
354,2016-12-20,1.5,0.4
355,2016-12-21,0.0,6.1
356,2016-12-22,41.5,0.0
357,2016-12-23,6.0,0.1
358,2016-12-24,2.5,2.0
359,2016-12-25,0.0,6.4
360,2016-12-26,16.5,0.0
361,2016-12-27,52.5,0.0
362,2016-12-28,0.0,0.1
363,2016-12-29,4.0,0.1
364,2016-12-30,0.0,4.2
365,2016-12-31,0.0,5.0
366,2017-01-01,0.0,1.4
367,2017-01-02,0.0,1.2
368,2017-01-03,0.0,4.1
369,2017-01-04,0.0,5.6
370,2017-01-05,0.0,0.8
371,2017-01-06,0.0,6.3
372,2017-01-07,0.0,5.3
373,2017-01-08,10.5,0.0
374,2017-01-09,12.0,0.2
375,2017-01-10,0.5,3.7
376,2017-01-11,0.0,1.8
377,2017-01-12,2.0,1.3
378,2017-01-13,2.0,2.5
379,2017-01-14,8.5,1.1
380,2017-01-15,7.5,2.4
381,2017-01-16,8.0,2.1
382,2017-01-17,0.5,4.1
383,2017-01-18,2.0,1.0
384,2017-01-19,0.0,5.6
385,2017-01-20,7.5,0.0
386,2017-01-21,0.0,2.9
387,2017-01-22,3.5,0.4
388,2017-01-23,23.0,0.2
389,2017-01-24,5.5,0.7
390,2017-01-25,1.0,5.6
391,2017-01-26,0.0,8.0
392,2017-01-27,4.0,0.8
393,2017-01-28,0.0,8.8
394,2017-01-29,12.0,0.0
395,2017-01-30,16.0,0.5
396,2017-01-31,0.0,2.4
397,2017-02-01,1.5,0.6
398,2017-02-02,0.0,5.5
399,2017-02-03,0.0,7.2
400,2017-02-04,0.0,9.3
401,2017-02-05,19.5,0.0
402,2017-02-06,3.5,1.0
403,2017-02-07,1.5,1.6
404,2017-02-08,1.5,5.4
405,2017-02-09,42.0,0.1
406,2017-02-10,6.0,0.4
407,2017-02-11,2.5,1.7
408,2017-02-12,4.5,2.3
409,2017-02-13,1.5,2.9
410,2017-02-14,1.0,3.2
411,2017-02-15,0.0,6.7
412,2017-02-16,0.0,9.1
413,2017-02-17,4.0,0.0
414,2017-02-18,4.5,2.3
415,2017-02-19,2.5,6.6
416,2017-02-20,56.5,0.3
417,2017-02-21,0.0,3.5
418,2017-02-22,6.0,1.1
419,2017-02-23,19.0,0.0
420,2017-02-24,1.0,3.6
421,2017-02-25,0.0,1.2
422,2017-02-26,1.0,2.3
423,2017-02-27,0.0,9.9
424,2017-02-28,0.0,10.4
425,2017-03-01,0.0,4.8
426,2017-03-02,7.5,0.9
427,2017-03-03,0.5,6.2
428,2017-03-04,0.0,10.3
429,2017-03-05,0.0,3.2
430,2017-03-06,0.0,1.5
431,2017-03-07,4.0,3.1
432,2017-03-08,0.0,2.2
433,2017-03-09,0.0,2.4
434,2017-03-10,0.0,7.5
435,2017-03-11,0.0,10.8
436,2017-03-12,0.0,10.3
437,2017-03-13,0.0,2.7
438,2017-03-14,0.5,2.9
439,2017-03-15,3.0,0.2
440,2017-03-16,0.0,7.0
441,2017-03-17,0.0,10.8
442,2017-03-18,0.0,4.2
443,2017-03-19,0.0,10.7
444,2017-03-20,3.5,5.9
445,2017-03-21,14.5,0.1
446,2017-03-22,0.0,9.9
447,2017-03-23,0.0,7.2
448,2017-03-24,0.0,7.1
449,2017-03-25,0.0,8.4
450,2017-03-26,0.0,7.8
451,2017-03-27,14.0,0.8
452,2017-03-28,8.5,2.4
453,2017-03-29,0.5,5.2
454,2017-03-30,0.0,6.9
455,2017-03-31,7.0,0.0
456,2017-04-01,0.0,9.1
457,2017-04-02,0.0,6.0
458,2017-04-03,0.0,11.2
459,2017-04-04,0.0,10.8
460,2017-04-05,0.0,1.7
461,2017-04-06,3.5,0.1
462,2017-04-07,3.0,0.1
463,2017-04-08,2.5,3.9
464,2017-04-09,0.0,0.0
465,2017-04-10,0.0,1.0
466,2017-04-11,22.5,0.0
467,2017-04-12,1.0,6.5
468,2017-04-13,0.0,11.8
469,2017-04-14,0.0,11.3
470,2017-04-15,21.0,7.9
471,2017-04-16,0.0,10.5
472,2017-04-17,63.0,0.0
473,2017-04-18,0.5,6.4
474,2017-04-19,0.5,11.9
475,2017-04-20,0.0,4.1
476,2017-04-21,0.0,6.9
477,2017-04-22,0.0,12.3
478,2017-04-23,0.0,12.5
479,2017-04-24,0.0,12.5
480,2017-04-25,1.5,5.3
481,2017-04-26,29.5,0.0
482,2017-04-27,0.0,7.1
483,2017-04-28,0.0,12.4
484,2017-04-29,0.0,10.5
485,2017-04-30,0.0,12.1
486,2017-05-01,0.0,2.8
487,2017-05-02,0.0,12.1
488,2017-05-03,0.0,5.7
489,2017-05-04,0.0,10.3
490,2017-05-05,0.0,7.0
491,2017-05-06,8.0,5.2
492,2017-05-07,0.0,12.2
493,2017-05-08,0.0,8.9
494,2017-05-09,12.0,0.0
495,2017-05-10,0.5,1.0
496,2017-05-11,3.0,6.1
497,2017-05-12,9.0,0.1
498,2017-05-13,7.5,3.3
499,2017-05-14,0.0,9.9
500,2017-05-15,0.0,4.9
501,2017-05-16,0.0,7.0
502,2017-05-17,0.0,2.7
503,2017-05-18,0.0,11.8
504,2017-05-19,0.0,13.0
505,2017-05-20,0.0,11.9
506,2017-05-21,0.0,10.5
507,2017-05-22,0.0,12.9
508,2017-05-23,0.0,8.2
509,2017-05-24,0.0,0.2
510,2017-05-25,0.0,8.7
511,2017-05-26,0.0,3.3
512,2017-05-27,0.0,10.0
513,2017-05-28,0.0,12.5
514,2017-05-29,0.0,12.9
515,2017-05-30,0.0,9.7
516,2017-05-31,4.5,1.4
